<<<<<<< HEAD
"id","question","answer","category","author","published_date","legal_refs","tags","views","url","crawled_at"
=======
"id","title","content","category","doc_type","doc_number","agency","published_date","url","crawled_at"
>>>>>>> 8c62716650a37ad011a66b4bad1a8001acd7c3a1
"138073941","Không cần xuất trình giấy khai sinh, đăng ký kết hôn khi làm thủ tục hành chính đúng không?","Ngày 10/12/2025, Bộ Tư pháp ban hành  Quyết định 3458/QĐ-BTP năm 2025  công bố dữ liệu hộ tịch và hướng dẫn kết nối, khai thác sử dụng dữ liệu hộ tịch thay thế giấy tờ trong giải quyết thủ tục hành chính.

Theo đó, căn cứ theo Điều 1  Quyết định 3458/QĐ-BTP năm 2025  quy định các dữ liệu hộ tịch thay thế giấy tờ trong giải quyết thủ tục hành chính gồm:

- Giấy khai sinh/bản sao Giấy khai sinh, Trích lục khai sinh;

- Giấy chứng nhận kết hôn/bản sao Trích lục kết hôn, Giấy xác nhận tình trạng hôn nhân;

- Trích lục khai tử/Giấy chứng tử/bản sao Trích lục khai tử.

Ngoài ra còn có các giấy tờ hộ tịch khác, gồm:

- Trích lục đăng ký thay đổi, cải chính, bổ sung hộ tịch, xác định lại dân tộc;

- Trích lục đăng ký nhận cha, mẹ, con;

- Giấy chứng nhận đăng ký nhận nuôi con nuôi;

- Trích lục đăng ký giám hộ, Trích lục đăng ký chấm dứt giám hộ, Trích lục đăng ký giám sát giám hộ, Trích ghi vào Sổ hộ tịch việc khai sinh, Trích lục ghi chú kết hôn, Trích lục ghi chú ly hôn, Trích lục ghi vào sổ việc hộ tịch khác.

Như vậy, người dân sẽ không phải mang theo giấy khai sinh, đăng ký kết hôn khi thực hiện thủ tục hành chính, nếu thông tin này đã có trên Cơ sở dữ liệu hộ tịch điện tử.

* Trên đây là Thông tin Từ 10/12/2025, không cần xuất trình giấy khai sinh, đăng ký kết hôn khi làm thủ tục hành chính đúng không?

Từ 10/12/2025, không cần xuất trình giấy khai sinh, đăng ký kết hôn khi làm thủ tục hành chính đúng không? (Hình từ Internet)

Căn cứ khoản 3 Điều 4  Nghị định 63/2010/NĐ-CP  được sửa đổi bởi khoản 1 Điều 1  Nghị định 92/2017/NĐ-CP  quy định nguyên tắc kiểm soát thủ tục hành chính như sau:

Điều 4. Nguyên tắc kiểm soát thủ tục hành chính

1. Kiểm soát thủ tục hành chính phải bảo đảm thực hiện có hiệu quả mục tiêu cải cách thủ tục hành chính, cải cách hành chính; bảo đảm điều phối, huy động sự tham gia tích cực, rộng rãi của tất cả các cơ quan, tổ chức, cá nhân vào quá trình kiểm soát thủ tục hành chính.

2. Kịp thời phát hiện để loại bỏ hoặc chỉnh sửa thủ tục hành chính không phù hợp, phức tạp, phiền hà; bổ sung thủ tục hành chính cần thiết, đáp ứng nhu cầu thực tế; bảo đảm quy định thủ tục hành chính đơn giản, dễ hiểu, dễ thực hiện, tiết kiệm thời gian, chi phí, công sức của đối tượng và cơ quan thực hiện thủ tục hành chính.

3. Kiểm soát thủ tục hành chính được thực hiện ngay từ khi đề nghị xây dựng văn bản quy phạm pháp luật và được tiến hành thường xuyên, liên tục trong quá trình tổ chức thực hiện thủ tục hành chính”.

Như vậy, kiểm soát thủ tục hành chính được thực hiện ngay từ khi đề nghị xây dựng văn bản quy phạm pháp luật và được tiến hành thường xuyên, liên tục trong quá trình tổ chức thực hiện thủ tục hành chính.

Căn cứ Điều 6  Nghị định 63/2010/NĐ-CP  quy định các hành vi bị nghiêm cấm về kiểm soát thủ tục hành chính bao gồm:

[1]  Nghiêm cấm cán bộ, công chức được phân công thực hiện thủ tục hành chính thực hiện các hành vi sau đây:

- Tiết lộ thông tin về hồ sơ tài liệu và các thông tin liên quan đến bí mật kinh doanh, bí mật cá nhân của đối tượng thực hiện thủ tục hành chính mà mình biết được khi thực hiện thủ tục hành chính, trừ trường hợp được đối tượng thực hiện thủ tục hành chính đồng ý bằng văn bản hoặc pháp luật có quy định khác; sử dụng thông tin đó để xâm hại quyền, lợi ích hợp pháp của người khác;

- Từ chối thực hiện, kéo dài thời gian thực hiện hoặc tự ý yêu cầu bổ sung thêm hồ sơ, giấy tờ ngoài quy định mà không nêu rõ lý do bằng văn bản;

- Hách dịch, cửa quyền, sách nhiễu, gây phiền hà, gây khó khăn cho đối tượng thực hiện thủ tục hành chính; lợi dụng các quy định, các vướng mắc về thủ tục hành chính để trục lợi;

- Nhận tiền hoặc quà biếu dưới bất cứ hình thức nào từ đối tượng thực hiện thủ tục hành chính khi tiếp nhận, giải quyết thủ tục hành chính ngoài phí, lệ phí thực hiện thủ tục hành chính đã được quy định và công bố công khai;

- Đùn đẩy trách nhiệm, thiếu hợp tác, chậm trễ, gây cản trở trong thực hiện nhiệm vụ được giao.

[2]  Nghiêm cấm đối tượng thực hiện thủ tục hành chính cản trở hoạt động của cơ quan nhà nước, người có thẩm quyền; đưa hối lộ hoặc dùng các thủ đoạn khác để lừa dối cơ quan nhà nước, người có thẩm quyền trong thực hiện thủ tục hành chính.

<<<<<<< HEAD
[3]  Nghiêm cấm cơ quan, tổ chức, cá nhân có hành vi cản trở hoạt động kiểm soát thủ tục hành chính.","","","2025-12-15","","","0","https://thuvienphapluat.vn/hoi-dap-phap-luat/tu-10122025-khong-can-xuat-trinh-giay-khai-sinh-dang-ky-ket-hon-khi-lam-thu-tuc-hanh-chinh-dung-kho-138073941.html","2026-04-13T04:54:20.841288+00:00"
=======
